name,source,family,expr,sign,nodes,zoo_overlap,ic_mean,pearson_ic,ic_t,ls_sharpe_ann,dsr,later_ic_mean,status
gp_0140,gp,liquidity,"($close / $vwap - 1 - Mean($close / $vwap - 1, 40)) / (Std(Std($volume, 5), 40) + 1e-12)",-1,21,3,0.018735973641418668,0.01426404170026886,2.898182471345118,0.9425277709960938,0.19773898890919567,-0.004724931224481393,rejected
gp_0141,gp,range,"Mean(($high - $low) / $close, 10)",-1,7,3,0.028463260381819157,-0.0016948183830858008,2.897417746002451,-0.09137868881225586,6.15062738036388e-05,0.07441794267136728,rejected
gp_0143,gp,range,"Min(Corr($vwap, ($high - $low) / $close, 10), 10) / (Min($close, 60) + 1e-12) - 1",-1,18,3,0.010857571323469846,0.004315769962802956,2.5854849166782246,0.5492386817932129,0.02332269287522333,0.024623703555973542,rejected
gp_0144,gp,range,"Delta(Corr(Max($high, 60) / (Slope($close, 40) + 1e-12) / $close, $low, 60), 20)",1,16,3,0.005613686755610555,0.0013328444247919604,1.454557839066718,0.27083826065063477,0.0023941913269298356,0.00572316352923738,rejected
gp_0145,gp,range,"Delta(Corr($high, ($high - $low) / $close, 5), 5)",-1,10,3,0.00915079380996781,0.007492518163774576,1.3033451480922151,0.3746594786643982,0.005883903135049843,0.0008976984159004438,rejected
gp_0146,gp,range,"Corr(($close - $low) / $close, $vwap, 5)",-1,8,1,0.010310539387309161,0.00780286851362016,1.7418750994540597,0.30604982376098633,0.0022951945270949813,0.004970332560332937,rejected
gp_0147,gp,range,"Mean((Corr($vwap, ($high - $low) / $close, 10) - $low) / $close, 20)",-1,14,3,0.03089176900498738,0.014633169025361582,5.180075995971384,0.9842211604118347,0.2332180870546891,0.014084302430123046,probation
gp_0148,gp,range,"Corr($low, Log($close), 5)",1,5,1,0.022998557282605827,0.022542567969341825,4.118419458000435,1.1817606687545776,0.4252734600501643,0.0016293200302862378,rejected
gp_0149,gp,price_volume,"Corr(Log($volume + 1), Min(Log($volume + 1), 5), 20)",-1,12,4,0.007513282569296624,0.009436400155842305,1.231514982937322,0.5975866913795471,0.03283546774339622,0.0032862158427295314,rejected
gp_0150,gp,price_volume,"Corr(Log($volume), $high, 20)",-1,5,1,0.04125345117063025,0.03061096137268377,6.367941683772458,1.6981595754623413,0.9030351609147088,0.021532019790096488,rejected
gp_0151,gp,price_volume,"Corr($low, Log($volume + 1), 60)",-1,7,4,0.029490119437590386,0.021373629543592332,3.979346983891361,0.7178162336349487,0.06539543038768371,-0.008333807940613981,rejected
gp_0152,gp,other,"Corr($close, Log($close + 1), 20)",1,7,1,0.010192235237104875,-0.005379896997510458,0.9394897060541453,-0.4668257236480713,1.6283672966206744e-07,0.05536531529384766,rejected
gp_0153,gp,price_volume,"Corr(Log(Log($volume + 1) + 1), $open, 60)",-1,10,4,0.02963507820142195,0.02221164586236941,4.0468405330688055,0.7316966652870178,0.07069156755900748,-0.011059046047431095,rejected
gp_0154,gp,price_volume,"Corr(Skew($volume, 60), $high, 20)",-1,6,1,0.0024359376712611218,0.0025604008777098024,1.152304855642268,0.3711547553539276,0.0060104988244779264,-0.0060142237191436665,rejected
gp_0155,gp,price_volume,"EMA($close, 20) / (EMA($volume, 20) + 1e-12)",1,9,1,0.01746090280303573,0.013892411357339636,2.7551345671997964,0.36472833156585693,0.006415851415797303,-0.021325801360660594,rejected
gp_0156,gp,price_volume,"EMA(Corr($close, $high, 60), 20) / Log($volume + 1)",1,11,4,0.023189391309938044,0.015796153393475138,3.435396468253724,0.27673083543777466,0.002829624677802083,-0.01095669744616426,rejected
gp_0157,gp,price_volume,"EMA($volume, 60)",-1,3,1,0.018303771303484755,0.007943619815702676,2.6820027955221586,0.3354383707046509,0.0048773929144321805,-0.010913979432283472,rejected
gp_0158,gp,price_volume,"Corr(Corr(Log($volume + 1), $high, 20), Log($volume + 1), 20)",-1,13,4,0.008218872396590303,0.0017596635000446889,1.642892592609693,0.07497947663068771,0.00036681802893875285,0.01531163018587576,rejected
gp_0159,gp,price_volume,"Corr($low / (Std($close, 20) + 1e-12), $volume, 10)",-1,10,3,0.004418327455529714,0.0059658552310239785,0.8574575260152943,0.3577100336551666,0.004975704897931341,0.0036936174473667475,rejected
gp_0160,gp,price_volume,"Corr(Log($volume + 1), $high, 40)",-1,7,4,0.04255803541042987,0.03238400477321051,6.1307995448407375,1.2756396532058716,0.5414265364185272,0.010520684521740315,rejected
gp_0161,gp,liquidity,"Std($volume, 20) / Mean($volume, 120)",-1,7,3,0.035893954999777586,0.027166118817247432,5.586900728938371,0.8247231841087341,0.11979884861700646,0.02888747431486866,probation
gp_0162,gp,other,"Corr($open, $close / $vwap - 1, 60)",1,8,1,0.005349314458620333,0.010431973483604992,0.714685195827492,0.4846993684768677,0.013152643293109502,0.00962928107045741,rejected
gp_0163,gp,other,"Delta($close / $vwap, 60)",-1,5,1,0.02049260408646751,0.018934078831030956,2.926239232327754,0.7403456568717957,0.07404022540683115,-0.0002167338965149549,rejected
gp_0164,gp,other,"Corr($open, $vwap, 20)",-1,4,1,0.0013306032844377501,-0.0025607846182850256,-0.34837866326603456,-0.37555748224258423,7.603316058016002e-07,-0.01491136094029047,rejected
gp_0165,gp,other,"Delta($close / ($close / $vwap) - 1, 60)",-1,9,1,0.011392276907883605,-0.0006565211657531485,1.3135979284315313,0.07799997180700302,0.0003806534919798679,0.011572839893020955,rejected
gp_0166,gp,liquidity,"Mean(Log($volume + 1), 10) / (Mean(Log($volume + 1), 40) + 1e-12) - 1",-1,17,4,0.019671709825251887,0.011461484364286893,3.0893845759587273,0.36142924427986145,0.005116444825271343,0.007689014630674536,rejected
